kelime,tanımı nedir,ne işe yarar,nerede bulunur,yanında neler bulunur,içinde neler bulunur,hammaddesi nedir,üst kavramı nedir,kim kullanır,sıfatları,rengi,şekli nasıl,canlı cansız
a,"['halk tutmak iş kullanlan bir nesne', 'ormanlarda bulunan byk bitki']","['oksijen retmek', 'haberleşmek', 'halk tutmak', 'iletiim']","['okul', 'evin kapı', 'ofis', 'baş', 'orman', 'halk teknesi']","['hayvan', 'bilgisayar', 'sen', 'halk']","['bilgisayar', 'yaz', 'bakan', 'sincap']","['iplik', 'su', 'kablo', 'seluloz']","['bitki', 'alet']",['herkes'],,"['kahverengi', 'yeil']",,"['cansız', 'canlı']"
akbil,"['ödeme jetonu', 'otobüse binmek için gerekli olan manyetik kart', 'ulaşım araçlarına binebilmek için ulaşım araçlarında kullanılan nesne', 'şehir içi ulaşım için gerekli olan bir kart', 'otobüse binmek için basılan nesne', 'toplu taşımada kullanılan ücret sistemidir', 'toplu ulaşım araç anahtarı', 'ıstanbul genelinde toplu ulaşımda kullanılan elektronik ücret', 'toplu taşıma kullanmak için kullanılan bir nesne', 'otobüse binmek için kullanılan bakiyesi kart', 'ulaşım kartı', 'toplu taşımaya binerken kullanılan kart', 'toplu ulaşımda kullanılan cihaz', 'ulaşım için kullanılan alet', 'taşıtlarda ödeme yapmak için kullanılan alet', 'toplu taşımada kullanılan elektronik bilet', 'içi para yüklü kart', 'toplu ulaşımda kullanılan elektronik ücret toplama sistemi', 'elektronik ücret toplama sistemi', 'toplu taşımalarda ücret ödemesi için kullanılan kart', 'araca binmek için gerekli bilet', 'otobüse binmek için kullanılan kart']","['otobuse binmek', 'seyahat etmek', 'sanal para yüklemek', 'ulaşım', 'ulaşım sağlar', 'otobüse binerken kullanılır', 'ulasim saglamak', 'toplu taşıma kullandırır', 'seyahat', 'toplu taşıma kullanmak', 'toplu taşıma aracına ödeme', 'şehir içi ve dışı araçlara binmek', 'yolculuk yapmak', 'seyehat', 'toplu taşımaya binmek', 'otobüse binmek', 'ulaşım araçlarına binmek', 'ulaşım sağlamak', 'vapur kullanmak', 'otobüse binmek için kullanılır', 'toplu taşıma kullanabilmek', 'ödeme yapmak', 'yolculuk yapabilmek', 'toplu taşımaya binmeye', 'inip binmeye']","['cep', 'metro', 'akbil matik', 'gişe', 'canta', 'cüzdan', 'otobüs', 'büfe', 'büfelerde', 'kartlık', 'ev', 'akbil satış noktalarıinsanlar', 'maket', 'satış merkezlerinde', 'öğretmen', 'vapur', 'öğrenci', 'kart bayileri', 'beyaz masa', 'insan', 'çanta', 'cepte']","['kimlik', 'metro', 'metrobus', 'kredi kartı', 'canta', 'cüzdan', 'diğer kartlar', 'otobüs', 'belgeler', 'anahtar', 'fotoğraf', 'anahtarlık', 'kartvizit', 'telefon', 'marmaray', 'nüfus cüzdanı', 'otobus', 'kimlik kartı', 'ehliyet', 'kart', 'insan', 'tren', 'bozuk para', 'çanta', 'para']","['', 'bilet', 'kota', 'aylık akbil', 'çip', 'soyisim', 'isim', 'cip', 'kod', 'manyetik çip', 'yazılım', 'manyetik', 'puan', 'ögrenci numarası', 'bilgi', 'kimlik numarası', 'bakiye', 'dijital para', 'kart', 'kredi', 'sanal para', 'elektronik devre', 'ad', 'para', 'mıknatıs', 'soyad']","['petro', 'sanal', 'manyetik', 'plastik', 'çip', 'demir', 'rf kart', 'ağaç', 'meta', 'kağıt', 'para', 'kart', 'bakır']","['araç', 'bilet', 'otobüs bileti', 'eşya', 'esya', 'elektronik bilet', 'alet', 'elektronik kart', 'makine', 'kart', 'nesne']","['ögrenci', '', 'halk', 'insan', 'büyük şehir belediye bölgesinde yaşanan yaş üstü kişiler', 'yolcu', 'yolcular', 'istanbuldaki insanlar', 'öğrenci', 'insanlar', 'işçi', 'ıstanbulda yaşayan insanlar', 'herkes', 'memur']",,"['gri', 'kırmızı', 'pembe', 'kirmizi', 'turuncu', 'siyah', 'renkli', 'karışık', 'kahverengi', 'yeşil', 'mor', 'beyaz', 'sarı', 'yesil', 'mavi']","['dikdortgen cisim', 'dikdörtgen', 'yuvarlak', 'yassı', 'katı', 'dikdörtgen cisim', 'dikdortgen']","['cansız', 'canli', 'canlı']"
akordeon,"['enstrüman', 'basmalı ve hava akımı yardımıyla çalınan bir müzik aleti', 'körüklü ve tuşlu elde çalınabilen çalgı', 'sıkıştırılan hava ve tuşlar ile çalınan bir çalgı', 'tuşlu', 'hava ile çalışan müzik aleti', 'bir çeşit müzik enstrümanı', 'bir müzik aleti', 'havalı', 'körüklü bir müzik aracı', 'körüklü çalgı', 'müzik yapmak için kullanılan körüklü çalgı', 'çalgı aleti', 'havalı müzik aleti', 'müzik aleti', 'bir körüğü harekete geçirmekle yaratılan hava akımının etkilediği serbest meta dillerinin titreşmesiyle ses çıkaran havalı çalgı', 'körüklü müzik aleti', 'tuşlu yaylı müzik aleti']","['çalmak', 'ses çıkarmak', 'müzik aletidirses çıkarır', 'müzik üretmek', 'şarkı çalmak', 'müzik çalmak', 'müzik çalmak için', 'müzik yapmak', 'eğlence', 'muzik', 'müzik', 'ses çıkartır', 'stres atmak', 'ses', 'müzik yamak', 'melodi çıkarmak', 'müzik üretmek için']","['müzik dükkanları', 'enstrüman satılan yer', 'internet', 'çalgıcılara', 'müzik aleti satılan yerlerde', 'muzik maket', 'kılıf', 'müzik maket', 'ev', 'el', 'stüdyo', 'çalgı aleti satın yerlerde', 'müzisyen', 'müzik stüdyosu', 'okul', 'sokak', 'mağaza', 'orkestra', 'müzik evi', 'sahne', 'konsercansız', 'müzik okulu', 'sanat merkezi', 'müzik kursu', 'sokak çalgıcısı', 'tiyatro', 'düğün salonu']","['diğer enstrümanlar', 'notalar', 'tuşlar', 'darbuka', 'kemençe', 'çalgı aletleri', 'nota listesi', 'müzik aletleri', 'konser salonu', 'diğer müzik aletleri', 'askılık', 'müzisyen', 'sandalye', 'mızıka', 'parmaklar', 'nota', 'piyano', 'flüt', 'gitar', 'klarnet', 'kablo', 'mizika', 'saz', 'keman', 'nota defteri', 'armonika', 'insan']","['', 'yay', 'vida', 'tuşlar', 'meta dilimler', 'hoparlör', 'tus', 'hava', 'elektronik cihazlar', 'çark', 'tel', 'nota', 'demir', 'meta dilciler', 'ses tuşları', 'tuş', 'körük', 'klavye', 'hava torbaları', 'meta düdük']","['tel', 'tuş', 'ahşap', 'deri', 'meta', 'düğme', 'demir', 'ağaç', 'plastik', 'iletkenler', 'tahta', 'bakır']","['enstrüman', 'çalgı', 'eşya', 'müzik aletleri', 'çalgı aleti', 'alet', 'enstruman', 'müzik aleti']","['konservatuar öğrencileri', 'sanatçı', 'herkes', 'ilgililer', 'sanatcilar', 'çalgıcılar', 'çalgıcı', 'sanatçılar', 'müzisyen', 'insanlar', 'müzisyenler']",,"['pembe', 'kırmızı', 'gri', 'farklı', 'siyah', 'karışık', 'kahverengi', 'her renk', 'mor', 'beyaz', 'sarı', 'değişkendir', 'mavi']","['kıvrımlı', 'değişken', 'dikdörtgen', 'dikdörtgenler prizması', 'dikdörtgen prizma', 'dikdörtgen küp', 'kare', 'kutu gibi', 'kare prizma', 'kutu', 'katı', 'körüklü']","['cansız', 'cansiz']"
akumulator,['araçlarda elektrik enerjisi kaynağı'],['devre calistirmak'],['gemi'],['araba'],['kurşunlu'],['saf su'],['batarya'],['sopor'],,['turuncu'],['kup'],['numara sonu']
akümülatör,"['akım toplar', 'elektrik enerjisini depolayan alet', 'elektrik enerjisini kimyasal enerji olarak depo neden', 'elektrik enerjisini kimyasal enerji olarak depo neden alet', 'kimyasal enerjisine çeviren ve elektrik enerjisine çeviren ve elektrik enerjisini kimyasal enerjiye çevirecek depo neden araçlar', 'batarya', 'elektrik enerji kaynağı', 'enerji depolayabilen cihaz', 'araçlarda bulunan elektrik enerjisi kaynağı', 'elektrik depolamaya yarayan alet', 'elektrik sağlayan bir batarya', 'elektrik enerjisini kimyasal enerji olarak depolayan bir araç', 'kimyasal enerji depolayan cihaz', 'motorlu araçlarda elektrik ihtiyacını karşılayan alet', 'elektrik enerjisi kaynağı', 'enerji kaynağı', 'elektrik depolayan alet', 'elektrik enerjisi kaynağı olan bir cihaz', 'akü etmek için kullanılan nesne', 'istenildiğinde bunu elektrik enerjisi olarak veren cihaz']","['enerji depolar', 'araba çalıştırmak', 'enerji sağlamak', 'motoru çalıştırmak', 'elektrik sağlamak', 'araç çalıştırmak için', 'enerji sağlar', 'elektrik üretir', 'elektrik üretmek', 'elektrik enerjisi depolar', 'elektrik vermek', 'enerji elde etmede kullanılır', 'elektrik akımı vermek', 'enerji', 'enerji depolama', 'aracı çalıştırmak', 'elektrik depolamak', 'enerji verme', 'arabayı çalıştırmak', 'motora güç verir', 'devre çalıştırmak', 'enerji depolamak', 'enerji üretmek', 'elektrik elde etmek', 'enerji vermek', 'arabaların çalışmasını sağlar', 'elektrik akımı sağlamak']","['motorsiklet', 'gemi', 'motosiklet', 'araç', 'otomativciler', 'otobüs', 'devre', 'bina', 'tamirhane', 'elektrik odası', 'taşıt', 'iş yeri', 'alam', 'kamyon', 'araba', 'telefon santrali', 'et', 'otomobil', 'araba tamircilerine']","['vida', 'su', 'iş makinası', 'araç', 'elektrikli aletler', 'devre', 'egzoz', 'tane', 'pil', 'motoru', 'depo', 'elekronik araçlar', 'boru', 'su deposu', 'akü', 'kablo', 'araba', 'priz', 'xxo  kadar amasyaliyildizedutr ya veritoplama konusu ile gönderiniz', 'hidrolik sistem', 'alet çantası', 'mazot']","['sıvı', 'pozitif taraf', 'vida', 'kimyasal enerji', 'anot', 'elektrik aksanı', 'asit', 'elektrolit', 'iyon', 'su', 'saf su', 'kimyasal madde', 'entegre', 'kurşunlu', 'batarya', 'devre', 'kurşun', 'pil', 'akü suyu', 'saf kurşun', 'kimyasal', 'kurşun dioksit', 'elektirik', 'kutup başı', 'meta', 'elektirik devresi', 'tel', 'enerji', 'demir', 'çeşitli elementler', 'sülfürik asit', 'meta plaka', 'meta plaklar', 'kablo', 'katot', 'plastik ayrıcı', 'plakalar', 'negatif taraf', 'elektronik devre', 'elektrot', 'elektrik']","['alüminyum', 'iyonlar', 'sıvı', 'asit', 'elektrolit', 'çinko', 'su', 'saf su', 'petro', 'kurşun', 'cıva', 'pil', 'meta', 'tel', 'çelik', 'plastik', 'karbon', 'demir', 'kömür', 'polietilen', 'sülfirik asit', 'bakır', 'celik', 'lityum', 'polipropilen', 'kurşun plaka', 'elektrik']","['cihaz', 'enerji', 'araç', 'güç kaynağı', 'batarya', 'işaretleyeceğim isimler', 'elektrik kaynağı', 'pil', 'akü', 'elektirik', 'alet', 'enerji kaynağı', 'makine', 'jeneratör', 'elektrik']","['mühendisler', 'makinist', 'araba sahipleri', 'elektronik', 'araç sahibi', 'araba', 'insan', 'elektrikçi', 'araç sahipleri', 'şoför', 'arabalar', 'araç kullananlar', 'aracı olanlar', 'iş yeri', 'arabası olan herkes', 'araçlar', 'herkes']",,"['gri', 'lacivert', 'sarı', 'turuncu', 'kahverengi', 'her renk', 'siyah', 'mavi']","['yamuk', 'dikdörtgen', 'dikdörtgenler prizması', 'kare', 'dikdörtgen prizma', 'dikdörtgen küp', 'dörtgen', 'katı', 'kutu', 'prizma', 'küp']","['cansız', 'numara sonu']"
alci,['bir yapı malzemesi'],['siva yapmak'],['bina'],['kova'],['hala'],['kum'],['malzeme'],['herkes'],,['beyaz'],['karisik'],['cansiz']
altin,['değerli bir elementi'],['elektriği iletir'],['yeryuzu'],['komur'],['çinko'],['altin nikel çinko bakir'],['kuyum'],['kuyumcu'],,['sari'],['dikdortgen'],['cansiz']
altn,[''],,,,,,,,,,,
altın,"['', 'kıymetli maden', 'atomu ağırlığı', 'zer simgesi şu', 'simgesi şu olan yüksek değerli bir elementi', 'bir elementi', 'değerli maden', 'kolay işlenen', 'takılarda kullanılan değerli eşya', 'olan', 'çok değerli elementi', 'yüksek değerli', ' dek eriyen', 'ıyi elektrik ileten değerli bir maden', 'değerli bir elementi', 'madenden çıkarılan değerli madde', 'paslanmaz elementi', 'ziynet olarak kullanılan maden', 'takı yapımında kullanılan maden', 'atomu sayısı', 'ziynet eşyası', 'değerli bir maden']","['değerli takı', 'maddi birikim', 'aksesuar yapma', 'estetik güzellik sağlar', 'satılır', 'varlık göstermek', 'biriktirmek', 'işlenip takı malzemesi olarak kullanılır', 'birikim', 'elektriği iletir', 'aksesuar', 'ticaret yapmak', 'yatırım yapmak', 'elektrik iletimi', 'kaplama', 'iletkenlik', 'iletim', 'mücevherat yapımı', 'zenginlik', 'para kazanmak', 'ticaret etmek', 'değer eder', 'ticaret', 'takı yapmak', 'para kazanılır', 'alışveriş yapmak', 'satmak', 'süs eşyası', 'alışveriş', 'süs', 'takı yapımı', 'ekonomi', 'mücevherde kullanılır', 'takı', 'değerli', 'elektronik', 'yatırım aracı', 'yatırım', 'alınır', 'iletme', 'harcamak', 'takı yapılır']","['', 'takı', 'yer altı', 'banka', 'toprak', 'venezuella', 'yeraltı', 'maden oçağı', 'ev', 'maden ocağı', 'yeryüzü', 'mücevherde', 'diş', 'maden', 'kuyumcu', 'altın madeni']","['', 'pırlanta', 'zincir', 'firkete', 'taş', 'gümüş', 'kolye', 'toprak', 'ör adsoyadisimlerxlsx', 'tas', 'toz', 'yüzük', 'bilezik', 'mücevher', 'alaşım', 'kutu', 'kasa', 'başka elementler', 'karbon', 'kese', 'elmas', 'demir', 'kömür', 'maden', 'bakır', 'takı', 'kurdele', 'para']","['altın tozu', 'nötron', 'altın atomu', 'çinko', 'gümüş', 'kolye', 'bileşik', 'molekül', 'altin', 'alaşım', 'elektron', 'atomu', 'meta', 'altın', 'karışık', 'demir', 'altınnikel', 'bakır', 'parmak', 'saf', 'proton', 'altın elementi', 'kendisi']","['altın nikel çinko bakır', 'altın tozu', 'nötron', 'altın', 'altin', 'altın atomları', 'altın iki klorür', 'elektron', 'atomu', 'meta', 'elementi', 'proton', 'altın elementi', 'saf altın']","['', 'kuyum', 'mücevherat', 'eşya', 'maden', 'eleme', 'mücevher', 'atomu', 'ziynet', 'meta', 'elementi']","['banka', 'kuyumcular', 'insan', 'zenginler', 'donanım üretenler', 'varlıklılar', 'insanlar', 'elektronik cihazlar', 'kuyumcu', 'herkes', 'sarraf']",,"['sari', 'turuncu', 'yeşil', 'beyaz', 'sarı']","['değişken', 'dikdörtgen', 'taş', 'küre', 'daire', 'erişilebilir', 'karışık', 'yuvarlak', 'katı', 'külçe', 'değişkendir']",['cansız']
alçı,"['dişçilikte kullanılan madde', 'kırık uzvu sabit tutmak için kullanılan nesne', 'mimarlıkta ve dişçilikte kullanılan madde', 'kırık kemiklerin iyileşmesini hızlandırır', 'suyla karıştırıldığında macun kıvamını alan ve kuruduğunda sertleşen yapı malzemesi', 'kemiklerin iyileşmesine yardımcı olan sert madde', 'hastayı iyileştirmek için yapılan olay', 'alçı taşının pişirilip toz durumuna getirilmesinden elde edilerek yapılarda', 'yapılarda', 'sanatta kullanılan yapı malzemesi', 'duvarları onarmak için kullanılan şey', 'mimari', 'kuruduğunda sertleşen yapı malzemesi', 'sanatta', 'kırılan kemiği korumaya yarayan malzeme', 'mimaride kullanılan bağlayıcı madde', 'beyaz inşaat malzemesi', 'mimarlıkta', 'yapılardan kullanılan sertleşebilen malzeme', 'alçıtaşının elde edilen toz', 'inşa için kullanılan', 'mimaride ve sanatta kullanılan', 'kaplama malzemesi', 'toz halde bulunan ve bir yapı malzemesi', 'bir kilidi açıp kapamaya yarayan']","['sağlamlık', 'tamir etmek için kullanılır', 'boşlukları doldurma', 'sağlamlık sağlamak', 'iyileşme', 'izolasyon', 'kol kırıklarını tedavi etmede', 'diş dolgusu yapmak', 'duvarda açık alanları kapamak', 'kapama', 'sert bir yüzey oluşturur', 'inşaat alanında', 'sekil vermek', 'alçıya almak', 'süslemede', 'korumak', 'sağlamlaştırmak', 'heykel yapmak', 'duvar onarmak', 'duvarı boyamak', 'sanat eseri üretmek', 'inşa etmek', 'doldurmak', 'yapıştırma ve sıva', 'mimaride ve tadilat işlerinde kullanılır', 'kırık çıkışların tedavisi', 'duvar düzleştirmek ve bütünleştirmek', 'bacak', 'kapatmak', 'süs', 'ev yapma', 'inşaat yapmak', 'tutucu', 'sıva yapmak', 'kırıkları sabitlemek', 'kırık sarmak', 'kemikleri iyileştirmek', 'inşaa etmek', 'dekoratif', 'sabit tutmaya', 'yara sarmak', 'kırık çıkışların iyileşmesini hızlandığı', 'hasta iyileştirmek', 'yapı malzemesi']","['hasta', 'yapı maket', 'tedavi', 'hastane', 'inşaat alanı', 'diş', 'ayak', 'bina', 'mimari', 'kol', 'ev', 'dişi', 'insaat', 'nalbur', 'tavan', 'hastahane', 'bacak', 'kalburcu', 'duvar', 'heykel', 'inşaat', 'tadilat', 'medikal mağaza', 'omuz']","['hala', 'spatula', 'su', 'diş', 'pamuk', 'işçi', 'falçata', 'kum', 'çimento', 'beton', 'sıva', 'kol', 'bandaj', 'tuğla', 'bez', 'ile', 'adınızı yazmayı unutmayınız', 'excel gönderiniz dosya adlarına', 'demir', 'torba', 'bacak', 'meta karıştırıcı', 'vücut kırığı', 'kova', 'duvar', 'sargı bezi', 'kil', 'macun', 'boya', 'insan', 'kap', 'karton', 'pavel', 'kürek']","['kalsiyum sülfat', 'sıvı', 'hala', 'minerali', 'alçı taşı tozu', 'su', 'kireç', 'pamuk', 'alçıtaşı tozu', 'tortul', 'toz', 'kalsiyum', 'harç', 'kol', 'madde', 'alçı kumu', 'alci', 'alçı', 'bacak', 'sargı bezi', 'alçıtaşı', 'alçı taşı', 'alçı maddesi', 'taş', 'kürek']","['jips', 'kalsiyum sülfat', 'minerali', 'su', 'kireç', 'kalsiyum sülfat dihidrat', 'alçı tozu', 'seluloz', 'kum', 'toz', 'kiraç', 'kalsiyum', 'kimyasal', 'alçı kumu', 'alci', 'alçı', 'alçıtaşı', 'alçı taşı', 'taş']","['', 'inşaat malzemesi', 'hırdavat', 'tadilat malzemesi', 'toz', 'harç malzemesi', 'minerali', 'malzeme', 'madde', 'alet', 'bandaj', 'kalıp', 'katı', 'taş', 'yapı malzemesi']","['hasta', 'sanatçı', 'inşaat işçileri', 'inşaatçı', 'kemiği kırılanlar', 'inşaat sektöründe çalışanlar', 'hasta olanlar', 'dişçi', 'inşaatçılar', 'kalfa', 'doktor', 'heykeltıraş', 'dişçiler', 'mimar', 'çırak', 'inşaat ustası', 'herkes', 'duvar ustası', 'hemşire', 'diş hekimleri', 'insan', 'inşaat ustaları', 'usta', 'hastalar']",,"['gri', 'beyaz']","['toz', 'silindir', 'karışık', 'yuvarlak', 'değişkendir', 'katı', 'akışkan']",['cansız']
