kelime,tanımı nedir,nasıl yapılır,niçin yapılır,ne olunca yapılır,yapınca ne olur,neyi kimi yapılır,kim ne ile yapılır,neye kime yapılır,nerede yapılır,kim ne yapar,fiziksel zihinsel
acele etmek,"['çabuk davranmak', 'bir    zla yapmak']","['ko arak', 'ko mak', 'koymak']","['yetismek', 'yeti mek']","['geç kalmak', 'gec kalmak']",['yorulmak'],"['insana', 'tart ya', 'tartisma', 'ders', ' nav']","['', 'arkadas', 'arkada', 'eylem', 'ayak', 'görev']","['okul', 'zaman', 'otobüs', 'okula', 'kendi', 'ö resmen', 'otobus', 'herkese']","['okul', 'sokak', '', 'yol', 'okulda', ' tek', 'evde']","['insan', 'ö renci', 'ogrenci', 'çocuk', 'memur']",['fiziksel']
aciklamak,['yemek yeme gereksinimi duymak'],['konusmak'],['ogretmek'],['yanlis anlasilmak'],['anlamak'],['durum'],['ornek'],['ogrenci'],['kafe'],['hoca'],
acilmak,['açma  ine konu olmak'],['konusmak'],['su uzerinde yol almak'],['dikilmek'],['balik tutmak'],['kendi'],['sandal'],['kaptan'],['telefon'],['pencere'],
acmak,['bir eyi kapal durumdan aç  duruma getirmek'],['iterek'],['sevindirmek'],['yemek yapinca'],['borek'],['ev'],['acacak'],['paket'],['apartman'],['kisi'],
affetmek,"['özrü kabul etmek', 'ya lamak', 'birinin yapı yanl görmezden gelmek', 'bir hata kar  nda hata yapan ki iyi anlamak', 'hatay hoş görmek', 'sindirmek', 'kusuru ya lamak', 'suç', 'küs olunan ki iyi ya lamak', 'aradaki  rg ne kalp irmak', 'bir ki iyi yapı hatalar için ya lamak', 'ceza ve benzeri bir eyi ya lamak', 'yap lan hatay hoş görmek', 'bir hatay unutmak', 'bir ki iyi  ledi  suçtan ötürü ya lama', 'birine kar  rg ne  durumunun geçmesi', 'suç ceza ve benzeri bir eyi ya lamak', 'suçlu ki iyi ya lamak']","['özür dileyerek', 'dü inerek', 'hoş görü', 'yürekten', 'şefkatle', 'unutarak', 'severek', 'konu arak', 'dü inmek', 'anlam ', 'konu mak', 'söylerek', 'içten', ' rg ', 'vazgeçerek', 'özür dilemek', 'söyleyerek', 'ya lamak', 'zor', 'affeder', 'söylemek', 'zamanla']","['sevgi', 'suçsuzluk', 'hoş görü', 'özlemek', 'unutmak', 'affetmek', 'ans vermek', 'bir mak', 'affetirmek', ' rg ne ', 'üzülmek', 'iyi hissetmek', 'huzura ermek', 'anla mak', 'af diledi  için', 'üzmemek', 'bir mak için', 'affedilmez', 'sevmek', 'ya lamak için', 'anlasmak', 'rahatlamak']","['   nca', 'mutlu olmak', '  lmak', 'çözülünce', 'hata yap  nca', 'küsmek', 'bunal nca', 'suç  lemek', ' mak', 'pi maç olmak', ' zg  olmak', 'ozur dilemek', 'sinirlenmek', 'sorun', 'empati kurmak', 'daral nca', 'özür dilenmesi', 'suçsuzluk  kan ulaşmak', 'özür dilemek', 'hata kabul edilince', '  nca', 'ya lamak', 'hata yapmak', 'düsünce', 'küs kalmamak için']","['ya lamak', 'rahatlamak', 'güvensizlik', 'ders ç kurmak', 'huzurlu', 'kamu mak', 'vicdan rahatlama', 'affedilmez', 'dost olmak', 'arkada olmak', 'mutluluk', 'anla mak', 'bir  ', 'bir mak', 'affedilir', 'ders cikarmak']","['', 'yanl', 'hata', ' ', 'insan', 'dost', 'arkada', 'kusur', 'duygu', 'suç', 'suçlu', 'suclu', 'söylem', 'karde', 'erkek', 'kabahat', 'affedilir', 'çocuk']","['arkada', 'duygu', 'vicdan', 'dü inceler', 'mahkeme', 'ki ', 'hiç', 'kanun', 'özür', 'insana', 'kul', 'söz', 'suçlu adam', 'kalp', 'ceza', 'insan', 'an lar', 'suç', 'hata yapan ki iyi']","['', 'baba', 'arkada', 'duygu', 'hak ', 'arkadas', 'üzen insana', 'ki ', 'ya kas ya', 'dü maç', 'konu mak', 'hayal ki ', 'hata yapan ki ', 'evlat', 'insana', 'suçlu', 'suçlu adam', 'dil ek insana', 'insanlar', 'hata yapan kisi', 'insan', 'dost', 'çocuk']","['sokak', 'her yerde', 'kalp', 'adliye', 'heryerde', 'az ', 'mahkeme', 'okulda', 'zihin', 'ev', 'konu ulan yerde', 'telefon']","['', 'baba', ' ', 'arkada', 'erkek', 'olgun insan', 'allan', 'hata yap lan ki ', 'hakim', 'ki ', 'adam', 'mahkum', 'sevgili', 'anne', 'herkes', ' abey', 'suçlu', '  lan ki ', 'ya dur', 'insan', 'dost', 'ö renci']",['fiziksel']
akil etmek,['önlem veya çareyi zaman nda dü inmek'],['dusunerek'],['sorun cozmek'],['sorun'],['cozum bulmak'],['hile'],['dusunerek'],['ise'],['heryer'],['cocuk'],
akýl etmek,"['', 'dü inerek önlem almak', 'bir problem üzerine fikir üretmek', 'dü inmek ve uygulamak', 'dü inebilmek', 'yöntem bulmak', 'bir ey dü inebilmek', 'alt olabilecek önlemi   tek geçmeden dü inmek', 'dü inmek', 'herhangi bir önlem veya çareyi zaman nda dü inmek', 'bir çözümü ya ya durumu önceden dü inebilmek', 'tahmin etmek', 'çözüm üretmek', 'dü inerek çözüm bulmak', 'dos ru bir ey yapmak']","['kafa yorarak', 'ç kar  yaparak', ' alaca', 'dek evlendirmek', 'dü inerek', 'dü inmek', 'akla gelir', 'zekice', 'geç']","['kod yazmak', 'zorlanmak', 'sorun çözmek', 'problem çözümü', 'çözüm bulmak', 'çözüm', 'bulmak için', 'sonuca varmak', 'yüksek bot almak', 'bulmak', 'çözmek', 'problem çözmek', 'zorunluluk', 'özüm üretmek', 'anlamak', 'çare', 'önlem', 'çözüm üretmek', 'yol bulmak için']","['', 'sorun olu mak', 'sorumluluk almak', 'kafa kar nca', ' nav olmak', 'ya az   olmak', 'akl ya gelince', 'karma kl  olunca', 'problem', 'sorun çözmek', 'problem içinde olmak', 'dü inmek', 'proje yapmak', 'çözüm bulamamak', 'dü ününe', 'çözüm istenince', ' nava girmek', 'sorun', 'sorunu olmak', 'önlem alt nca', 'zorla nca', 'bilmemek', 'merak etmek', 'planlama', 'sorunla kar ya mak', 'farketmek', '  mak', 'ç kaza girince']","['mutlu olmak', 'çözümlemek', 'çözüm bulmak', 'ya az ', 'çözüm', 'kendine güvenmek', 'çözüme yakla mak', 'takdir edilmek', 'çözülür', 'ya arma', 'kolay ', 'çözüme ula  ', 'soru çözmek', 'sonuçlan ', 'fikir üretmek', 'halletmek', 'yeni bir yol kez edilir', 'anlamak', 'ya az  olmak', 'çare bulmak', 'bilmek', 'akla gelmek', 'dü ünce olu ur', 'kurtulmak']","['dü ünce', 'çözüm yöntemi', 'problem', 'olay', 'malzeme', 'herhangi bir eyi', 'yöntem', 'çözüm', 'bir fikir', 'soru', 'bilgi', 'fikir', 'çare', 'sorun', 'bilmece', 'dü ünür', 'önlem', 'hile', 'insan']","['zeka', 'bilgisayar', 'tecrübe', 'öneri', 'dü ünce', 'az ', 'dü inerek', 'dü inmek', 'zihin', 'sorun', 'farketmek', 'kendisiyle', 'beyin', 'herkes', 'beyin ile']","['', 'durum', 'arkadas', 'insan', 'problem', 'arkada', 'fikir', 'kar  ndaki', 'olay', 'yönetici', 'her ele', 'soru', 'ç kar', ' nav', 'herkese', 'kendi kendine']","['', 'her yerde', 'okul', '  ', 'heryerde', ' yeri', 'bulunulan yerde', 'zihin', 'ev', 'heryer', ' nav', 'beyin', 'zihinde', 'dünyada']","['mühendis', 'herkes', 'insan', 'mucit', 'ki ', 'ö renci', 'programı', 'çal an', 'çocuk', 'köpek']",['zihinsel']
alay etmek,"['gülünç', 'bir kimsenin', 'gülünç vb yönlerini küçümseyerek  lence konusu yapmak', 'bir konuyu küçümseyerek  lence konusu yapmak', 'küçümsemek', 'bir ki inin eksik yönleri hakk nda dalga geçmek', 'birinin', 'bir durumun', 'küçümseyerek  lence konusu etmek', 'bir eyi  lence konusu yapmak', 'bir eyin', 'kusurlu', 'bir ki iyi küçük görmek', 'dalga geçmek', 'dalaga geçmek', 'bir eyin kusru ile dalga geçmek', 'eksik vb yönlerini küçümseyerek  lence konusu yapmak', 'bir eyin ya ya bir durumun eksik', 'birini küçük duruma dü sürmek']","['çocukça', 'az', 'aç  bularak', 'konu arak', 'davran', 'çok', 'konu mak', 'dalga geçerek', 'dalga geçmek', 'cocukca', 'söz', 'dü inmeyerek', 'taklit', 'söyleyerek', 'gülmek', 'gülerek', 'küçümseyerek', 'sözel', 'inceden', 'sözlü', ' yenerek']","['yermek', 'kötülemek', 'gülmek için', 'alay etmek', 'küçümsemek', '  lamak', 'çözmek', ' lence', 'dalga geçmek', 'kizdirmak', 'gülmek', ' zd irmak', 'meral bozmak', 'küçük dü sürmek', ' denmek', 'üzmek', 'samimi bir ortam', 'sevmedi  için', 'komik olmak']","[' kanal ', 'kibirlenmek', 'kusur', 'komik söylemek', 'gülünç', 'dü mek', 'ilginç bir ey olunca', '  lamak', 'komik bir durum', 'hata', 'absürd', 'eksik', 'sinir olmak', 'komik durumda', ' genceli bir ortam', ' esat', 'kusurlu', ' zg  olmak', 'sinirlenmek', 'rekabet', 'bir kusur görünce', ' kan nca', 'komik', 'sinir olunca', 'saçma bir hareket yap  nca', 'komik durum', 'komik olmak', 'ilginc bir sey olunca', 'beceremeyen']","['sayı  zl ', 'muhabbet', ' irmak', 'küskünlük', 'ne elenmek', 'kalp    ', 'alay edilen çocuk üzülür', 'küçümsemek', 'oyun', 'kötü', '  yanmak', 'dalga geçmek', 'üzülmek', 'kabal ', 'rencide olmak', 'gülmek', ' denmek', 'gülünün', 'kar taraf rencide olur', 'rezil olmak']","['', ' afet', 'hata', 'dalga', 'insan', 'ünlü ki ', 'duygulara', 'duygu', 'sinirlenmek', 'espri', 'kusur', 'dü en', 'aka', 'kendini', 'taklit', 'tip', 'eksiklik', 'çocuk']","['cümle', ' ', 'arkada', 'malzeme', 'zay ', 'örnek', 'erkek', 'kad ', 'davran', 'aka', 'konu mak', 'karde', 'mimik', 'görünü', 'sözcük', 'söz', 'fest ve mimiklerle', 'kelime', 'hareket', 'insan', 'sözler', 'fest', 'çocuk']","['kar ndaki insana', 'durum', 'insan', 'arkada', 'herkese', 'ya kas ya', 'sevmedi  biri', 'seyirci', 'ö renci', 'arkada ya', 'eksiklikler', 'karde', 'arada', 'çocuk']","['', 'heryerde', 'heryer', 'medya', 'sokakta', '  ', ' yeri', 'ev', 'cafede', 'okul', 'sokak', 'film', 'müsamere', 'caf', 'sahne', 'yar ya', 'evde', 'kafe', 'okulda', 'arkada ortam', 'ders', 'herhangi bir yerde', 'bulu ulan ortamda']","['cocuk', ' ek', 'palyaço', 'ki iler', 'insan', 'komedyen', 'dalga geçmek', 'arkada', 'ki ', 'çocuklar', 'oyuncu', 'rakip ki ', 'zorba', 'ö renci', 'karde', 'herkes', 'çocuk']",['fiziksel']
alismak,['bir   kolay kla yapabilmek'],['tekrar etmek'],['gelisim'],['sevmek'],['mutlu olmak'],['yaklasim'],['insan'],['yalnizlik'],['ev'],['gonul ayni durumlari tekrar eder'],
almak,"['ele geçirmek', 'paras  ödeyip teslim almak', 'bir eyi elle veya ya ya bir araçla tutarak bulundu  yerden ay irmak', 'saat  almak', 'sende olmayan edinmek', 'sahip olmak', 'yeni bir eyin sahip olunması', 'bir  yay bir yerden kar  kl veya kar  ks  olarak almak', 'para verip elde etmek', 'ihtiyaç duyulan eyi temin etmek', 'elinde tutmak', 'bir eyi veya kimseyi bulundu  yerden ay irmak', 'bir nesneye belirli bir ücret ile sahip olmak', 'kalp irmak', 'bir eyi yerinden ay irmak', 'elde etmek', 'bir eyi ya ya birini bulundu  yerden ay irmak']","['para vermek', 'ellerini uzatarak', 'sipariş', 'talep', 'aceleyle', 'isteyerek', 'dikerek', 'takas', 'dikkatlice', 'cömertçe', 'istekli', 'ödemek', 'ay irmak', 'ödemeyle', 'para kazanmak', 'ödeyerek', ' zl ya', 'elini uzatarak', 'zorla', 'elde ederek', 'utanarak', 'tutarak', 'saat  alt', 'kolay', 'vererek', 'zor', 'kolayca', 'süpürerek', 'kar  kl', 'alt msat ', 'ele almak', 'vermek']","['tutmak', 'giyinmek', 'ihtiyac kar lamak', 'götürmek', 'ihtiyaç duymak', 'doymak', 'edinmek', 'istemek', 'ihtiyaç durmak', 'sahip olmak', 'kazanmak', 'para harcamak', 'ihtiyaç', 'satmak', 'okumak', 'az kmak', 'kullanmak için', 'ya mak', 'temizlemek', 'maddiyat', 'yat  ', 'kalp irmak', 'alt veri']","['saat  almak', 'ihtiyaç duymak', 'beş etmek', 'ihtiyaç hissetmek', 'satın almak', 'beğeni sonucunda', 'malzeme bitince', 'istemek', 'ihtiyac  olunca', 'kitap okumak', 'paras zl kan', 'istek', 'kendisinde olmak nca', 'ödeme', 'ihtiyaç olunca', 'sorun ç kmak', 'ihtiyaç', 'kirlenmek', 'ihtiyaç duyunca', 'gereksinim duyuldu unda', 'tükenmek', 'az  nca', 'az kmak', 'ihtiyaç olmak', 'yok olmak', 'kullanmak', 'ihtiyac olmak', 'gitmek']","['fatura ödemek', 'kültürlü olmak', ' irmak', 'ürün sahibi olmak', 'urun sahibi olmak', 'zorlamak', 'fakirle mek', 'artmak', 'sahip olur', 'sahip olmak', 'elde etmek', 'yemek', 'para harcamak', 'mülk sahibi olmak', 'sahip olunur', 'sahip', 'ihtiyac gidermek', 'ihtiyaç gidermek', 'giyilir', 'gerek duymamak', 'sahiplik', 'temizlenmek', 'saat  ', 'bozulmak', 'tatmin duygusu']","['mal', 'çöp', 'malzeme', 'elma', 'sorumluluk', 'yiyecek', 'sağ', ' ya', 'kalem', 'yemek', 'fikir', 'kitap', 'cisim', 'giyecek', 'ürün', 'paket', 'elbise', ' afet', 'forma', 'saat ', 'para', 'nesne']","['arkada', 'silgi', 'yan maç', 'makine', 'elma', 'tüccar', 'motoru', 'madde', 'el', 'herkes', 'kitap', 'ürün', 'kiyafet', ' afet', 'insan', 'araba', 'saat ', 'yürümek', 'eldiven', 'süpürge', 'para', 'kürek', 'ekmek']","['', 'tedarikçi', 'arkada', 'çöp kamyonuna', 'aile', 'silgiye', 'ki ', 'madde', ' ya', 'sevgili', 'sandalye', 'yemek', 'mü teri', 'kendi', 'ürün', 'kurum', 'copa kamyonuna', 'saat ', 'insan', 'masa', 'çocuk']","['her yer', '  fta', 'dükkan', 'ticari amaç güdülen yerler', 'manav', 'alt veris', 'internet', 'kütüphane', 'alt veri merkezi', 'mutfakta', ' yeri', 'ofis', 'kasap', 'ev', 'depo', 'okul', 'sokak', 'atölyede', 'maket', 'emlakçi', 'mutfak', 'bakkal', 'emlak', 'kargo', 'ya aza', 'herhangi bir yerde']","['', 'baba', 'müdür', 'çöpçü', 'gümrük memuru', 'tüccar', 'nsan', 'kurye', 'esnaf', 'hayvan', 'anne', 'herkes', 'ihtiyaç sahibi', 'mü teri', 'bakkal', 'kurum', ' çi', 'insanlar', ' afet', 'hem ile', 'insan', 'ö renci', 'yeti ki', 'ogrenci']",['fiziksel']
